variable_group,cmip6_table,name,long_name,std_name,units,cmip6plus_key,cmip6_key,in_cmip_core
forcing,Lmon,ra,Carbon Mass Flux into Atmosphere Due to Autotrophic (Plant) Respiration on Land [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_plant_respiration,kg m-2 s-1,LPmon/ra,Lmon/ra,TRUE
forcing,Lmon,residualFrac,Percentage of Grid Cell That Is Land but neither Vegetation Covered nor Bare Soil,area_fraction,%,LPmon/residualFrac,Lmon/residualFrac,TRUE
forcing,Lmon,rh,Total Heterotrophic Respiration on Land as Carbon Mass Flux [kgC m-2 s-1],surface_upward_mass_flux_of_carbon_dioxide_expressed_as_carbon_due_to_heterotrophic_respiration,kg m-2 s-1,LPmon/rh,Lmon/rh,TRUE
forcing,Emon,rhSoil,Carbon Mass Flux into Atmosphere Due to Heterotrophic Respiration from Soil on Land,surface_upward_mass_flux_of_carbon_due_to_heterotrophic_respiration_in_soil,kg m-2 s-1,LPmon/rhSoil,Emon/rhSoil,FALSE
forcing,LImon,sftgif,Land Ice Area Percentage,land_ice_area_fraction,%,LPmon/sftgif,LImon/sftgif,TRUE
forcing,Lmon,shrubFrac,Percentage Cover by Shrub,area_fraction,%,LPmon/shrubFrac,Lmon/shrubFrac,TRUE
forcing,Lmon,tran,Transpiration,transpiration_flux,kg m-2 s-1,LPmon/tran,Lmon/tran,TRUE
forcing,Lmon,treeFrac,Tree Cover Percentage,area_fraction,%,LPmon/treeFrac,Lmon/treeFrac,TRUE
forcing,Lmon,tsl,Temperature of Soil,soil_temperature,K,LPmon/tsl,Lmon/tsl,FALSE
forcing,Emon,vegFrac,Total Vegetated Percentage Cover,area_fraction,%,LPmon/vegFrac,Emon/vegFrac,TRUE
forcing,Emon,wetlandFrac,Wetland Percentage Cover,area_fraction,%,LPmon/wetlandFrac,Emon/wetlandFrac,TRUE
esm-diagnostic,Oday,tossq,Square of Sea Surface Temperature,square_of_sea_surface_temperature,degC2,Oday/tossq,OPday/tossq,TRUE
esm-diagnostic,Omon,chlos,Surface Mass Concentration of Total Phytoplankton Expressed as Chlorophyll in Sea Water,mass_concentration_of_phytoplankton_expressed_as_chlorophyll_in_sea_water,kg m-3,Omon/chlos,OBmon/chlos,TRUE
esm-diagnostic,Omon,epc100,Downward Flux of Particulate Organic Carbon,sinking_mole_flux_of_particulate_organic_matter_expressed_as_carbon_in_sea_water,mol m-2 s-1,Omon/epc100,OBmon/epc100,TRUE
esm-diagnostic,Omon,epcalc100,Downward Flux of Calcite,sinking_mole_flux_of_calcite_expressed_as_carbon_in_sea_water,mol m-2 s-1,Omon/epcalc100,OBmon/epcalc100,TRUE
esm-diagnostic,Omon,fgco2,Surface Downward Mass Flux of Carbon as CO2 [kgC m-2 s-1],surface_downward_mass_flux_of_carbon_dioxide_expressed_as_carbon,kg m-2 s-1,Omon/fgco2,OBmon/fgco2,TRUE
esm-diagnostic,Omon,fgo2,Surface Downward Flux of O2,surface_downward_mole_flux_of_molecular_oxygen,mol m-2 s-1,Omon/fgo2,OBmon/fgo2,TRUE
esm-diagnostic,Omon,intpp,Primary Organic Carbon Production by All Types of Phytoplankton,net_primary_mole_productivity_of_biomass_expressed_as_carbon_by_phytoplankton,mol m-2 s-1,Omon/intpp,OBmon/intpp,TRUE
esm-diagnostic,Omon,no3os,Surface Dissolved Nitrate Concentration,mole_concentration_of_nitrate_in_sea_water,mol m-3,Omon/no3os,OBmon/no3os,TRUE
esm-diagnostic,Omon,o2os,Surface Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,Omon/o2os,OBmon/o2os,TRUE
esm-diagnostic,Omon,obvfsq,Square of Brunt Vaisala Frequency in Sea Water,square_of_brunt_vaisala_frequency_in_sea_water,s-2,Omon/obvfsq,OPmonLev/obvfsq,TRUE
esm-diagnostic,Omon,po4os,Surface Total Dissolved Inorganic Phosphorus Concentration,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,mol m-3,Omon/po4os,OBmon/po4os,TRUE
esm-diagnostic,Omon,sob,Sea Water Salinity at Sea Floor,sea_water_salinity_at_sea_floor,0.001,Omon/sob,OPmon/sob,TRUE
esm-diagnostic,Omon,soga,Global Mean Sea Water Salinity,sea_water_salinity,0.001,Omon/soga,OPmon/soga,TRUE
esm-diagnostic,Omon,sosga,Global Average Sea Surface Salinity,sea_surface_salinity,0.001,Omon/sosga,OPmon/sosga,TRUE
esm-diagnostic,Omon,spco2,Surface Aqueous Partial Pressure of CO2,surface_partial_pressure_of_carbon_dioxide_in_sea_water,Pa,Omon/spco2,OBmon/spco2,TRUE
esm-diagnostic,Omon,talk,Total Alkalinity,sea_water_alkalinity_expressed_as_mole_equivalent,mol m-3,Omon/talk,OBmonLev/talk,TRUE
esm-diagnostic,Omon,tauuo,Sea Water Surface Downward X Stress,downward_x_stress_at_sea_water_surface,N m-2,Omon/tauuo,OPmon/tauuo,TRUE
esm-diagnostic,Omon,tauvo,Sea Water Surface Downward Y Stress,downward_y_stress_at_sea_water_surface,N m-2,Omon/tauvo,OPmon/tauvo,TRUE
esm-diagnostic,Omon,thetaoga,Global Average Sea Water Potential Temperature,sea_water_potential_temperature,degC,Omon/thetaoga,OPmon/thetaoga,TRUE
esm-diagnostic,Omon,tob,Sea Water Potential Temperature at Sea Floor,sea_water_potential_temperature_at_sea_floor,degC,Omon/tob,OPmon/tob,TRUE
esm-diagnostic,Omon,tosga,Global Average Sea Surface Temperature,sea_surface_temperature,degC,Omon/tosga,OPmon/tosga,TRUE
esm-diagnostic,Omon,wmo,Upward Ocean Mass Transport,upward_ocean_mass_transport,kg s-1,Omon/wmo,OPmonLev/wmo,TRUE
esm-diagnostic,Omon,wo,Sea Water Vertical Velocity,upward_sea_water_velocity,m s-1,Omon/wo,OPmonLev/wo,TRUE
esm-diagnostic,Omon,zostoga,Global Average Thermosteric Sea Level Change,global_average_thermosteric_sea_level_change,m,Omon/zostoga,OPmon/zostoga,TRUE
forcing,Oday,tos,Sea Surface Temperature,sea_surface_temperature,degC,OPday/tos,Oday/tos,TRUE
forcing,Omon,evs,Water Evaporation Flux Where Ice Free Ocean over Sea,water_evapotranspiration_flux,kg m-2 s-1,OPmon/evs,Omon/evs,FALSE
forcing,Omon,friver,Water Flux into Sea Water from Rivers,water_flux_into_sea_water_from_rivers,kg m-2 s-1,OPmon/friver,Omon/friver,FALSE
forcing,Omon,hfds,Downward Heat Flux at Sea Water Surface,surface_downward_heat_flux_in_sea_water,W m-2,OPmon/hfds,Omon/hfds,TRUE
forcing,Omon,hfx,Ocean Heat X Transport,ocean_heat_x_transport,W,OPmon/hfx,Omon/hfx,FALSE
forcing,Omon,hfy,Ocean Heat Y Transport,ocean_heat_y_transport,W,OPmon/hfy,Omon/hfy,FALSE
forcing,Omon,masso,Sea Water Mass,sea_water_mass,kg,OPmon/masso,Omon/masso,TRUE
forcing,Omon,mlotst,Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,OPmon/mlotst,Omon/mlotst,TRUE
forcing,Omon,mlotstmax,Maximum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,OPmon/mlotstmax,Omon/mlotstmax,TRUE
forcing,Omon,mlotstmin,Minimum Ocean Mixed Layer Thickness Defined by Sigma T,ocean_mixed_layer_thickness_defined_by_sigma_t,m,OPmon/mlotstmin,Omon/mlotstmin,TRUE
forcing,Omon,msftbarot,Ocean Barotropic Mass Streamfunction,ocean_barotropic_mass_streamfunction,kg s-1,OPmon/msftbarot,Omon/msftbarot,TRUE
forcing,Omon,pbo,Sea Water Pressure at Sea Floor,sea_water_pressure_at_sea_floor,Pa,OPmon/pbo,Omon/pbo,TRUE
forcing,Omon,sos,Sea Surface Salinity,sea_surface_salinity,0.001,OPmon/sos,Omon/sos,TRUE
forcing,Omon,tos,Sea Surface Temperature,sea_surface_temperature,degC,OPmon/tos,Omon/tos,TRUE
forcing,Omon,volo,Sea Water Volume,sea_water_volume,m3,OPmon/volo,Omon/volo,TRUE
forcing,Omon,wfo,Water Flux into Sea Water,water_flux_into_sea_water,kg m-2 s-1,OPmon/wfo,Omon/wfo,TRUE
forcing,Omon,zos,Sea Surface Height Above Geoid,sea_surface_height_above_geoid,m,OPmon/zos,Omon/zos,TRUE
forcing,Omon,masscello,Ocean Grid-Cell Mass per Area,sea_water_mass_per_unit_area,kg m-2,OPmonLev/masscello,Omon/masscello,TRUE
forcing,Omon,msftyz,Ocean Y Overturning Mass Streamfunction,ocean_y_overturning_mass_streamfunction,kg s-1,OPmonLev/msftyz,Omon/msftyz,TRUE
forcing,Omon,so,Sea Water Salinity,sea_water_salinity,0.001,OPmonLev/so,Omon/so,TRUE
forcing,Omon,thetao,Sea Water Potential Temperature,sea_water_potential_temperature,degC,OPmonLev/thetao,Omon/thetao,TRUE
forcing,Omon,thkcello,Ocean Model Cell Thickness,cell_thickness,m,OPmonLev/thkcello,Omon/thkcello,FALSE
forcing,Omon,umo,Ocean Mass X Transport,ocean_mass_x_transport,kg s-1,OPmonLev/umo,Omon/umo,TRUE
forcing,Omon,uo,Sea Water X Velocity,sea_water_x_velocity,m s-1,OPmonLev/uo,Omon/uo,TRUE
forcing,Omon,vmo,Ocean Mass Y Transport,ocean_mass_y_transport,kg s-1,OPmonLev/vmo,Omon/vmo,TRUE
forcing,Omon,vo,Sea Water Y Velocity,sea_water_y_velocity,m s-1,OPmonLev/vo,Omon/vo,TRUE
forcing,Omon,hfbasin,Northward Ocean Heat Transport,northward_ocean_heat_transport,W,OPmonZ/hfbasin,Omon/hfbasin,TRUE
forcing,Omon,hfbasinpmadv,Northward Ocean Heat Transport Due to Parameterized Mesoscale Advection,northward_ocean_heat_transport_due_to_parameterized_mesoscale_eddy_advection,W,OPmonZ/hfbasinpmadv,Omon/hfbasinpmadv,TRUE
forcing,Omon,htovgyre,Northward Ocean Heat Transport Due to Gyre,northward_ocean_heat_transport_due_to_gyre,W,OPmonZ/htovgyre,Omon/htovgyre,FALSE
forcing,Omon,htovovrt,Northward Ocean Heat Transport Due to Overturning,northward_ocean_heat_transport_due_to_overturning,W,OPmonZ/htovovrt,Omon/htovovrt,FALSE
forcing,Omon,msftmz,Ocean Meridional Overturning Mass Streamfunction,ocean_meridional_overturning_mass_streamfunction,kg s-1,OPmonZ/msftmz,Omon/msftmz,TRUE
forcing,Omon,sltovgyre,Northward Ocean Salt Transport Due to Gyre,northward_ocean_salt_transport_due_to_gyre,kg s-1,OPmonZ/sltovgyre,Omon/sltovgyre,FALSE
forcing,Omon,sltovovrt,Northward Ocean Salt Transport Due to Overturning,northward_ocean_salt_transport_due_to_overturning,kg s-1,OPmonZ/sltovovrt,Omon/sltovovrt,FALSE
esm-diagnostic,Oyr,dfe,Dissolved Iron Concentration,mole_concentration_of_dissolved_iron_in_sea_water,mol m-3,Oyr/dfe,OByrLev/dfe,TRUE
esm-diagnostic,Oyr,no3,Dissolved Nitrate Concentration,mole_concentration_of_nitrate_in_sea_water,mol m-3,Oyr/no3,OByrLev/no3,TRUE
esm-diagnostic,Oyr,o2,Dissolved Oxygen Concentration,mole_concentration_of_dissolved_molecular_oxygen_in_sea_water,mol m-3,Oyr/o2,OByrLev/o2,TRUE
esm-diagnostic,Oyr,po4,Total Dissolved Inorganic Phosphorus Concentration,mole_concentration_of_dissolved_inorganic_phosphorus_in_sea_water,mol m-3,Oyr/po4,OByrLev/po4,TRUE
esm-diagnostic,Oyr,si,Total Dissolved Inorganic Silicon Concentration,mole_concentration_of_dissolved_inorganic_silicon_in_sea_water,mol m-3,Oyr/si,OByrLev/si,TRUE
esm-diagnostic,SIday,siconca,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,%,SIday/siconca,SIday/siconca,TRUE
esm-diagnostic,SIday,sithick,Sea Ice Thickness,sea_ice_thickness,m,SIday/sithick,SIday/sithick,TRUE
esm-diagnostic,SIday,siu,X-Component of Sea-Ice Velocity,sea_ice_x_velocity,m s-1,SIday/siu,SIday/siu,TRUE
esm-diagnostic,SIday,siv,Y-Component of Sea-Ice Velocity,sea_ice_y_velocity,m s-1,SIday/siv,SIday/siv,TRUE
esm-diagnostic,SImon,siconc,Sea-Ice Area Percentage (Ocean Grid),sea_ice_area_fraction,%,SImon/siconc,SImon/siconc,TRUE
esm-diagnostic,SImon,siconca,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,%,SImon/siconca,SImon/siconca,TRUE
esm-diagnostic,SImon,simass,Sea-Ice Mass per Area,sea_ice_amount,kg m-2,SImon/simass,SImon/simass,TRUE
esm-diagnostic,SImon,simpconc,Percentage Cover of Sea Ice by Meltpond,area_fraction,%,SImon/simpconc,SImon/simpconc,TRUE
esm-diagnostic,SImon,sirdgconc,Percentage Cover of Sea Ice by Ridging,area_fraction,1,SImon/sirdgconc,SImon/sirdgconc,TRUE
esm-diagnostic,SImon,sisnconc,Snow Area Percentage,surface_snow_area_fraction,%,SImon/sisnconc,SImon/sisnconc,TRUE
esm-diagnostic,SImon,sisnmass,Snow Mass per Area,liquid_water_content_of_surface_snow,kg m-2,SImon/sisnmass,SImon/sisnmass,TRUE
esm-diagnostic,SImon,sisnthick,Snow Thickness,surface_snow_thickness,m,SImon/sisnthick,SImon/sisnthick,TRUE
esm-diagnostic,SImon,sispeed,Sea-Ice Speed,sea_ice_speed,m s-1,SImon/sispeed,SImon/sispeed,TRUE
esm-diagnostic,SImon,sitemptop,Surface Temperature of Sea Ice,sea_ice_surface_temperature,K,SImon/sitemptop,SImon/sitemptop,TRUE
esm-diagnostic,SImon,sithick,Sea Ice Thickness,sea_ice_thickness,m,SImon/sithick,SImon/sithick,TRUE
esm-diagnostic,SImon,sitimefrac,Fraction of Time Steps with Sea Ice,fraction_of_time_with_sea_ice_area_fraction_above_threshold,1,SImon/sitimefrac,SImon/sitimefrac,TRUE
esm-diagnostic,SImon,siu,X-Component of Sea-Ice Velocity,sea_ice_x_velocity,m s-1,SImon/siu,SImon/siu,TRUE
esm-diagnostic,SImon,siv,Y-Component of Sea-Ice Velocity,sea_ice_y_velocity,m s-1,SImon/siv,SImon/siv,TRUE
esm-diagnostic,SImon,sivol,Sea-Ice Volume per Area,sea_ice_thickness,m,SImon/sivol,SImon/sivol,TRUE
